case_id,pipeline,end_ns,end_to_end_ms,model_batch_id,model_batch_size,model_ms,policy_ms,retrieval_ms,start_ns,validation_ms
EXT-PAIR-0128-KO,C0_DIRECT_SLM,11135440996850,11242.047607999999,batch-000018,8,11242.039146,0.0,0.001193,11124198957704,0.007269
EXT-PAIR-0136-KO,C0_DIRECT_SLM,11135440996850,11242.045923,batch-000018,8,11242.039146,0.0,0.001166,11124198957704,0.005611
EXT-PAIR-0140-EN,C0_DIRECT_SLM,11147675526463,12234.316461999999,batch-000019,8,12234.307689,0.0,0.001809,11135441218774,0.006964
EXT-PAIR-0140-KO,C0_DIRECT_SLM,11147675526463,12234.31569,batch-000019,8,12234.307689,0.0,0.001171,11135441218774,0.00683
EXT-PAIR-0143-EN,C0_DIRECT_SLM,11147675526463,12234.311382,batch-000019,8,12234.307689,0.0,0.001333,11135441218774,0.00236
EXT-PAIR-0144-EN,C0_DIRECT_SLM,11147675526463,12234.313880999998,batch-000019,8,12234.307689,0.0,0.001142,11135441218774,0.00505
EXT-PAIR-0146-EN,C0_DIRECT_SLM,11147675526463,12234.310943999999,batch-000019,8,12234.307689,0.0,0.001146,11135441218774,0.002109
EXT-PAIR-0148-EN,C0_DIRECT_SLM,11147675526463,12234.311002999999,batch-000019,8,12234.307689,0.0,0.001049,11135441218774,0.002265
EXT-PAIR-0148-KO,C0_DIRECT_SLM,11147675526463,12234.311158999999,batch-000019,8,12234.307689,0.0,0.001097,11135441218774,0.002373
EXT-PAIR-0149-KO,C0_DIRECT_SLM,11147675526463,12234.345986,batch-000019,8,12234.307689,0.0,0.001147,11135441218774,0.03715
EXT-PAIR-0150-KO,C0_DIRECT_SLM,11159430484793,11754.570679999999,batch-000020,8,11754.529442,0.0,0.001139,11147675955351,0.040099
EXT-PAIR-0152-KO,C0_DIRECT_SLM,11159430484793,11754.818696999999,batch-000020,8,11754.529442,0.0,0.001065,11147675955351,0.28819
EXT-PAIR-0154-KO,C0_DIRECT_SLM,11159430484793,11754.541597,batch-000020,8,11754.529442,0.0,0.001073,11147675955351,0.011082
EXT-PAIR-0157-KO,C0_DIRECT_SLM,11159430484793,11754.538935,batch-000020,8,11754.529442,0.0,0.006149,11147675955351,0.003344
EXT-PAIR-0159-EN,C0_DIRECT_SLM,11159430484793,11754.533624,batch-000020,8,11754.529442,0.0,0.001483,11147675955351,0.002699
EXT-PAIR-0161-EN,C0_DIRECT_SLM,11159430484793,11754.533137,batch-000020,8,11754.529442,0.0,0.001238,11147675955351,0.002457
EXT-PAIR-0162-EN,C0_DIRECT_SLM,11159430484793,11754.536393,batch-000020,8,11754.529442,0.0,0.001168,11147675955351,0.005783
EXT-PAIR-0166-EN,C0_DIRECT_SLM,11159430484793,11754.533121999999,batch-000020,8,11754.529442,0.0,0.001197,11147675955351,0.002483
EXT-PAIR-0166-KO,C0_DIRECT_SLM,11170785125481,11354.387942,batch-000021,8,11354.384219,0.0,0.001345,11159430741262,0.002378
EXT-PAIR-0167-EN,C0_DIRECT_SLM,11170785125481,11354.387934,batch-000021,8,11354.384219,0.0,0.001273,11159430741262,0.002442
EXT-PAIR-0169-EN,C0_DIRECT_SLM,11170785125481,11354.387719999999,batch-000021,8,11354.384219,0.0,0.001085,11159430741262,0.002416
